"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.countPeople"
"34_82_231+0+9530","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:47.000",5
"34_82_231+0+9529","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:46.000",6
"34_82_231+0+9527","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:45.000",8
"34_82_231+0+9528","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:45.000",7
"34_82_231+0+9526","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:44.000",9
"34_82_231+0+9525","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:39.000",10
"34_82_231+0+9523","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:27.000",12
"34_82_231+0+9524","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:27.000",11
"34_82_231+0+9522","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:26.000",13
"34_82_231+0+9521","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:25.000",14
"34_82_231+0+9520","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:19.000",15
"34_82_231+0+9518","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:07.000",17
"34_82_231+0+9519","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:07.000",16
"34_82_231+0+9516","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:06.000",19
"34_82_231+0+9517","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:06.000",18
"34_82_231+0+9515","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:05.000",20
"34_82_231+0+9514","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 11:57:12.000",21
"34_82_231+0+9513","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 11:52:12.000",21
"34_82_231+0+9512","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 11:47:12.000",21
"34_82_231+0+9511","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 11:42:12.000",21
"34_82_231+0+9510","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 11:37:11.000",21
"34_82_231+0+9509","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 11:32:11.000",21
"34_82_231+0+9508","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 11:27:11.000",21
"34_82_231+0+9507","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 11:22:10.000",21
"34_82_231+0+9506","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 11:17:10.000",21
"34_82_231+0+9505","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 11:12:10.000",21
