"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.peopleCount"
"35_83_238+0+9559","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 07:43:45.713",0
"35_83_238+0+9558","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 07:38:45.713",0
"35_83_238+0+9557","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 07:33:45.713",0
"35_83_238+0+9556","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 07:28:45.713",0
"35_83_238+0+9555","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 07:23:45.713",0
"35_83_238+0+9554","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 07:18:45.713",0
"35_83_238+0+9553","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 07:13:45.713",0
"35_83_238+0+9552","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 07:08:45.713",0
"35_83_238+0+9551","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 07:03:45.712",0
"35_83_238+0+9550","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 06:58:45.712",0
"35_83_238+0+9549","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 06:53:45.712",0
"35_83_238+0+9548","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 06:48:45.712",0
"35_83_238+0+9547","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 06:43:45.712",0
"35_83_238+0+9546","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 06:38:45.712",0
"35_83_238+0+9545","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 06:33:45.712",0
"35_83_238+0+9544","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 06:28:45.712",0
"35_83_238+0+9543","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 06:23:45.712",0
"35_83_238+0+9542","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 06:18:45.712",0
"35_83_238+0+9541","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 06:13:45.712",0
"35_83_238+0+9540","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 06:08:45.712",0
"35_83_238+0+9539","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 06:03:45.710",0
"35_83_238+0+9538","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 05:58:45.710",0
"35_83_238+0+9537","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 05:53:45.710",0
"35_83_238+0+9536","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 05:48:45.710",0
"35_83_238+0+9535","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 05:43:45.710",0
"35_83_238+0+9534","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 05:38:45.710",0
"35_83_238+0+9533","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 05:33:45.710",0
"35_83_238+0+9532","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 05:28:45.710",0
"35_83_238+0+9531","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 05:23:45.710",0
"35_83_238+0+9530","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 05:18:45.710",0
"35_83_238+0+9529","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 05:13:45.710",0
"35_83_238+0+9528","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 05:08:45.710",0
"35_83_238+0+9527","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 05:03:45.708",0
"35_83_238+0+9526","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 04:58:45.708",0
"35_83_238+0+9525","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 04:53:45.708",0
"35_83_238+0+9524","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 04:48:45.708",0
"35_83_238+0+9523","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 04:43:45.708",0
"35_83_238+0+9522","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 04:38:45.708",0
"35_83_238+0+9521","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 04:33:45.708",0
"35_83_238+0+9520","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 04:28:45.708",0
"35_83_238+0+9519","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 04:23:45.708",0
"35_83_238+0+9518","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 04:18:45.708",0
"35_83_238+0+9517","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 04:13:45.708",0
"35_83_238+0+9516","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 04:08:45.708",0
"35_83_238+0+9515","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 04:03:45.701",0
"35_83_238+0+9514","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 03:58:45.701",0
"35_83_238+0+9513","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 03:53:45.701",0
"35_83_238+0+9512","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 03:48:45.701",0
"35_83_238+0+9511","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 03:43:45.701",0
"35_83_238+0+9510","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 03:38:45.701",0
"35_83_238+0+9509","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 03:33:45.701",0
"35_83_238+0+9508","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 03:28:45.701",0
"35_83_238+0+9507","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 03:23:45.701",0
"35_83_238+0+9506","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 03:18:45.701",0
"35_83_238+0+9505","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 03:13:45.701",0
"35_83_238+0+9504","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 03:08:45.700",0
"35_83_238+0+9503","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 02:57:48.828",0
"35_83_238+0+9502","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 02:52:48.826",0
"35_83_238+0+9501","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 02:47:48.826",0
"35_83_238+0+9500","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 02:42:48.826",0
"35_83_238+0+9499","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 02:37:48.826",0
"35_83_238+0+9498","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 02:32:48.826",0
"35_83_238+0+9497","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 02:27:48.826",0
