"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.count","value.heap"
"7_89_234+0+4250","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:55:00.297",41,"198,408"
"7_89_234+0+4247","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:50:00.287",41,"198,420"
"7_89_234+0+4248","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:50:00.287",41,"198,420"
"7_89_234+0+4245","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:45:00.277",41,"198,420"
"7_89_234+0+4246","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:45:00.277",41,"198,420"
"7_89_234+0+4243","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:40:00.267",41,"198,376"
"7_89_234+0+4244","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:40:00.267",41,"198,376"
"7_89_234+0+4241","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:35:00.257",41,"198,396"
"7_89_234+0+4242","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:35:00.257",41,"198,396"
"7_89_234+0+4231","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:30:00.247",41,"198,404"
"7_89_234+0+4232","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:30:00.247",41,"198,404"
"7_89_234+0+4233","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:30:00.247",41,"198,404"
"7_89_234+0+4234","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:30:00.247",41,"198,404"
"7_89_234+0+4235","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:30:00.247",41,"198,404"
"7_89_234+0+4236","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:30:00.247",41,"198,404"
"7_89_234+0+4237","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:30:00.247",41,"198,404"
"7_89_234+0+4238","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:30:00.247",41,"198,404"
"7_89_234+0+4239","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:30:00.247",41,"198,404"
"7_89_234+0+4240","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:30:00.247",41,"198,404"
"7_89_234+0+4229","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:25:00.237",41,"198,412"
"7_89_234+0+4230","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:25:00.237",41,"198,412"
"7_89_234+0+4227","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:20:00.227",41,"198,412"
"7_89_234+0+4228","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:20:00.227",41,"198,412"
"7_89_234+0+4225","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:15:00.217",41,"198,412"
"7_89_234+0+4226","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:15:00.217",41,"198,412"
"7_89_234+0+4223","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:10:00.207",41,"198,408"
"7_89_234+0+4224","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:10:00.207",41,"198,408"
"7_89_234+0+4220","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:05:00.197",41,"198,408"
