"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.count","value.height"
"37_84_226+0+10721","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 08:10:00.039",0,0
"37_84_226+0+10720","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 08:05:00.038",0,0
"37_84_226+0+10719","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 08:00:00.037",0,0
"37_84_226+0+10718","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 07:55:00.038",0,0
"37_84_226+0+10717","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 07:50:00.038",0,0
"37_84_226+0+10716","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 07:45:00.037",0,0
"37_84_226+0+10715","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 07:40:00.038",0,0
"37_84_226+0+10714","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 07:35:00.037",0,0
"37_84_226+0+10713","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 07:30:00.038",0,0
"37_84_226+0+10712","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 07:25:00.038",0,0
"37_84_226+0+10711","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 07:20:00.037",0,0
"37_84_226+0+10710","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 07:15:00.038",0,0
"37_84_226+0+10709","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 07:10:00.037",0,0
"37_84_226+0+10708","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 07:05:00.028",0,0
"37_84_226+0+10707","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 07:00:00.028",0,0
"37_84_226+0+10706","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 06:55:00.028",0,0
"37_84_226+0+10705","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 06:50:00.018",0,0
"37_84_226+0+10704","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 06:45:00.018",0,0
"37_84_226+0+10703","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 06:40:00.018",0,0
"37_84_226+0+10702","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 06:35:00.018",0,0
"37_84_226+0+10701","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 06:30:00.018",0,0
"37_84_226+0+10700","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 06:25:00.018",0,0
"37_84_226+0+10699","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 06:20:00.018",0,0
"37_84_226+0+10698","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 06:15:00.018",0,0
"37_84_226+0+10697","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 06:10:00.018",0,0
"37_84_226+0+10696","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 06:05:00.018",0,0
"37_84_226+0+10695","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 06:00:00.018",0,0
"37_84_226+0+10694","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 05:55:00.018",0,0
"37_84_226+0+10693","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 05:50:00.018",0,0
"37_84_226+0+10692","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 05:45:00.018",0,0
"37_84_226+0+10691","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 05:40:00.018",0,0
"37_84_226+0+10690","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 05:35:00.018",0,0
"37_84_226+0+10689","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 05:30:00.018",0,0
"37_84_226+0+10688","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 05:25:00.018",0,0
"37_84_226+0+10687","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 05:20:00.018",0,0
"37_84_226+0+10686","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 05:15:00.018",0,0
"37_84_226+0+10685","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 05:10:00.018",0,0
"37_84_226+0+10684","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 05:05:00.008",0,0
"37_84_226+0+10683","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 05:00:00.008",0,0
"37_84_226+0+10682","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 04:55:00.008",0,0
"37_84_226+0+10681","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 04:50:00.008",0,0
"37_84_226+0+10680","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 04:45:00.008",0,0
"37_84_226+0+10679","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 04:40:00.008",0,0
"37_84_226+0+10678","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 04:35:00.008",0,0
"37_84_226+0+10677","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 04:30:00.008",0,0
"37_84_226+0+10676","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 04:25:00.008",0,0
"37_84_226+0+10675","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 04:20:00.008",0,0
"37_84_226+0+10674","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 04:15:00.008",0,0
